PassengerID,Survived,Pclass,Sex,Age,Fare,Embarked
299,0,3,male,19.0,8.1583,S
300,1,1,female,22.0,66.6,S
301,0,3,male,27.0,14.4542,C
302,0,1,male,62.0,26.55,S
303,0,3,male,1.0,39.6875,S
304,1,3,male,18.0,8.05,S
305,0,2,male,28.0,33.0,S
306,1,1,female,16.0,86.5,S
307,1,2,female,24.0,18.75,S
308,0,2,male,44.0,26.0,S
309,0,2,male,57.0,12.35,Q
310,0,3,male,32.0,7.925,S
311,0,3,male,20.0,9.225,S
312,0,3,male,17.0,8.6625,S
313,0,2,male,25.0,13.0,S
314,0,3,male,37.0,7.925,S
315,1,1,male,48.0,76.7292,C
316,0,3,male,22.0,7.125,S
317,1,3,female,2.0,12.2875,S
318,0,2,male,36.0,10.5,S
319,1,2,female,41.0,19.5,S
320,0,3,female,31.0,18.0,S
321,1,2,female,34.0,32.5,S
322,0,1,male,37.0,29.7,C
323,0,3,male,22.0,8.05,S
324,0,2,male,51.0,12.525,S
325,0,3,male,51.0,8.05,S
326,1,3,female,26.0,7.925,S
327,1,2,female,34.0,13.0,S
328,0,1,male,70.0,71.0,S
329,0,3,female,39.0,31.275,S
330,1,1,male,0.92,151.55,S
331,1,1,male,32.0,30.5,C
332,1,2,female,27.0,13.8583,C
333,1,1,female,58.0,26.55,S
334,0,1,male,31.0,52.0,S
335,1,3,female,22.0,7.75,S
336,1,1,female,22.0,151.55,S
337,1,1,female,58.0,153.4625,S
338,0,3,female,2.0,10.4625,S
339,0,3,male,33.0,7.775,S
340,0,2,male,30.0,24.0,C
341,0,3,male,55.5,8.05,S
342,1,2,female,45.0,13.5,S
343,1,3,female,31.0,8.6833,S
344,0,3,male,28.0,7.8958,S
345,1,1,female,33.0,90.0,Q
346,0,1,male,18.0,108.9,C
347,0,1,male,61.0,32.3208,S
348,0,1,male,40.0,27.7208,C
349,0,2,female,38.0,13.0,S
350,1,3,male,32.0,56.4958,S
351,0,3,male,28.0,7.925,S
352,0,1,male,46.0,79.2,C
353,0,3,male,19.0,7.8958,S
354,1,1,female,35.0,135.6333,S
355,1,1,female,51.0,77.9583,S
356,0,2,male,28.0,13.5,S
357,1,2,female,28.0,26.0,S
358,1,1,female,44.0,57.9792,C
359,1,3,male,9.0,20.525,S
360,1,1,female,30.0,86.5,S
361,0,3,male,36.0,15.55,S
362,0,3,male,42.0,8.4042,S
363,0,3,male,22.0,7.5208,S
364,0,3,female,30.0,24.15,S
365,0,3,male,8.0,29.125,Q
366,0,1,male,29.0,66.6,S
367,0,2,male,35.0,26.0,S
368,1,1,female,15.0,211.3375,S
369,0,2,male,35.0,10.5,S
370,0,2,male,32.5,30.0708,C
371,0,2,male,33.0,12.275,S
372,1,2,female,36.0,13.0,S
373,0,3,male,19.0,6.75,Q
374,1,3,male,32.0,7.925,S
375,1,3,female,38.0,31.3875,S
376,0,3,male,22.0,7.25,S
377,0,2,male,24.0,73.5,S
378,1,3,male,27.0,7.7958,S
379,1,2,female,28.0,12.65,S
380,0,3,female,2.0,27.9,S
381,1,3,male,0.42,8.5167,C
382,0,1,male,38.0,153.4625,S
383,0,3,female,39.0,29.125,Q
384,0,2,male,31.0,37.0042,C
385,0,3,male,24.0,9.5,S
386,0,3,male,23.0,7.8542,S
387,1,1,female,35.0,53.1,S
388,1,1,male,27.0,30.5,S
389,1,2,female,25.0,30.0,S
390,0,3,male,21.0,7.7333,Q
391,0,3,female,18.0,18.0,S
392,0,1,male,51.0,61.3792,C
393,0,3,male,49.0,0.0,S
394,0,3,male,19.0,10.1708,S
395,1,1,male,35.0,26.55,C
396,0,3,male,17.0,8.6625,S
397,0,3,male,33.0,9.5,S
398,0,3,female,29.0,21.075,S
399,1,3,female,17.0,7.925,S
400,1,3,male,45.0,8.05,S
401,1,2,male,0.67,14.5,S
402,0,2,male,19.0,13.0,S
403,1,2,female,35.0,21.0,S
404,0,3,female,20.0,8.6625,S
405,1,1,male,27.0,76.7292,C
406,0,2,male,29.0,10.5,S
407,1,1,male,34.0,26.55,S
408,0,1,male,49.0,110.8833,C
409,0,3,female,28.0,7.8958,S
410,0,3,male,25.0,7.225,C
411,1,2,female,40.0,13.0,S
412,1,3,female,27.0,7.925,S
413,0,3,female,9.0,31.275,S
414,0,3,male,16.0,34.375,S
415,0,3,male,24.0,7.4958,S
416,0,2,male,30.0,13.0,S
417,0,3,female,21.0,7.75,Q
418,1,1,female,47.0,52.5542,S
419,1,2,female,19.0,26.0,S
420,0,3,male,26.0,8.05,S
421,0,3,male,18.0,7.8542,S
422,0,1,male,40.0,0.0,S
423,0,2,male,70.0,10.5,S
424,0,3,female,32.0,15.5,Q
425,0,3,male,30.0,16.1,S
426,1,3,female,22.0,7.25,S
427,0,1,female,2.0,151.55,S
428,0,2,male,52.0,13.0,S
429,1,1,female,38.0,227.525,C
430,0,3,male,50.0,8.05,S
431,0,3,male,22.0,9.35,S
432,1,1,male,17.0,110.8833,C
433,1,2,female,36.0,13.0,S
434,0,3,male,36.0,7.8958,S
435,1,2,female,50.0,10.5,S
436,0,3,male,28.0,22.525,S
437,1,2,female,45.0,26.25,S
438,1,2,male,1.0,37.0042,C
439,1,1,female,19.0,30.0,S
440,0,2,male,31.0,10.5,S
441,1,3,female,4.0,16.7,S
442,0,3,male,34.0,14.4,S
443,1,2,female,2.0,26.0,S
444,1,1,female,36.0,120.0,S
445,0,3,male,25.0,7.7417,Q
446,1,1,male,35.0,26.2875,S
447,1,3,female,23.0,7.55,S
448,0,3,male,32.0,15.85,S
449,1,1,female,40.0,134.5,C
450,1,1,male,37.0,52.5542,S
451,0,2,male,16.0,10.5,S
452,1,2,male,8.0,36.75,S
453,1,1,female,39.0,83.1583,C
454,0,3,male,25.0,17.8,S
455,1,3,male,22.0,7.225,C
456,1,1,male,38.0,90.0,S
457,0,3,male,35.0,7.8958,C
458,0,2,male,54.0,26.0,S
459,1,1,female,54.0,59.4,C
460,0,3,male,18.0,8.3,S
461,0,1,male,60.0,26.55,S
462,1,1,male,56.0,35.5,C
463,1,2,female,29.0,26.0,S
464,0,3,male,33.0,7.8958,C
465,1,3,female,27.0,11.1333,S
466,1,3,female,16.0,7.7333,Q
467,1,3,female,1.0,15.7417,C
468,0,3,male,34.0,6.4958,S
469,0,1,male,45.0,35.5,S
470,0,2,male,18.0,11.5,S
471,0,3,male,42.0,7.65,S
472,0,1,male,58.0,113.275,C
473,0,3,male,33.0,8.6542,S
474,0,3,male,21.0,7.25,S
475,0,1,male,24.0,79.2,C
476,0,3,male,7.0,29.125,Q
477,1,2,male,32.0,26.0,S
478,0,3,male,30.0,8.05,S
479,1,3,male,25.0,7.775,S
480,0,3,male,19.0,0.0,S
481,0,2,male,25.0,13.0,S
482,1,3,female,16.0,7.75,Q
483,0,2,male,36.5,26.0,S
484,0,1,male,71.0,34.6542,C
485,0,3,male,22.0,7.2292,C
486,0,3,male,28.0,7.8958,S
487,0,3,male,41.0,14.1083,S
488,0,1,male,47.0,38.5,S
489,0,3,male,20.5,7.25,S
490,1,1,female,33.0,86.5,S
491,0,2,male,25.0,26.0,S
492,0,1,male,19.0,263.0,S
493,1,1,female,22.0,55.0,S
494,0,1,male,44.0,90.0,Q
495,0,3,male,28.0,7.8542,S
496,0,3,male,17.0,8.6625,S
497,0,3,male,48.0,7.8542,S
498,0,3,male,22.0,8.05,S
499,0,1,female,25.0,151.55,S
